"film_title","languages","colour","format","producer","cert_no","cert_date","endorsement","rule_applied","original_length_m","length_deleted_m","final_length_m","deletions","reductions","insertions","replacements","gazette_identifier","gazette_date","source_url"
"Mogambo","English","Color","","Metro Goldwyn Mayer India Ltd., Metro House Mahatma Gandhi Road, Bombay.","10362","11-2-54","U","","","","","[7] All references to the Maharaja of Banga nore, his playing a dirty trick and somebody trying to take away his palaces. (14.3256 m) || [V] Two shots where Kelly’s bust in profile is shown with emphasis. (2.4384 m) || [V] Mannwell picking up Kelly's brassiere. (13.4112 m) || [IX] Words 'It is a mean by which a woman is rendered incapable of being unfaithful' and subsequent discussion about native customs. (25.3008 m)","[III] First kiss which Maxwell thrusts upon Kelly. (0.9144 m) (retained: 0.6096 m) || [XI] Considerably the scene in which Kelly is lying in the arms of Maxwell. (3.32232 m) (retained: 2.4384 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"A Nation Is Fifty","English","","","RKO Radio Pictures Ltd., Dhan Nur Bldg., Sir P. M. Road, Bombay.","10354","11-2-64","U","","","","","[II] All shots of 'view of girls dancing, with split skirts, waggling their hips and lifted and carried on shoulders'. (9.144 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"T. V. of Tomorrow","English","Color","","Metro Goldwyn Mayer India Ltd., Metro House, Mahatma Gandhi Road, Bombay.","10366","11-2-M","U","","","","","The shot of the body of a girl in three sections and substitution of a lemon for the centre section. (7.9248 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Mission of Friendship","English","","","United States Information Service, Adelphi, 3, Queen's Road, Bombay.","10309","12-2-64","U","","","","","[II] Commentary: 'And there is occurring between these two countries, the self governing country and the Communist country, a competition as to whether ways of freedom or police state methods can better achieve social progress. This competition directly affects the 800,000,000 people of the two countries and in the long run, the outcome will affect all humanity, including ourselves'. (0 m) || [II] Commentary: The word 'Communist' from the sentence 'But still the people and the Government do not want this quarrel to expose them to Communist subversion'. (0 m) || [II] Commentary: 'They have not forgotten that they were occupied by the Soviet Union between 1941 and 1946'. (0 m) || [II] Commentary: The word 'Communist' from the sentence 'Here are Two countries which have clearly demonstrated their intent to stand steadiest against Communist aggression tad internal subversion'. (0 m) || [II] Commentary: 'Let none forget that the Kremlin uses extreme rationalism to bait the trap by which it hopes to capture the dependant peoples'. (0 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"East of Sumatra","English","Color","","Universal Pictures India Ltd., Sir P. U. Road, Fort, Bombay.","10361","12-2-64","U","","","","","[III] All shots in the dance of the would-be queen where the thighs are seen. (48.768 m) || [IX] The native king being kissed by his girl as he is dying. (3.9624 m)","[III] The shadow kiss. (5.1816 m) (retained: 4.8768 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Conquest of Cochise","English","Color","","Columbia Films of India Ltd., Lotus House, 33 A, Marine Lines, Bombay.","10362","12-2-54","U","","","","","[III] Commanchehs slashing Cochise with knives, one after another. (16.4592 m)","[VII] Commanche's attack and fighting, specially close-ups of attacks with axe and dagger. (20.4216 m) (retained: 33.8328 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"The Fall of Berlin (Revised)","Russian","Color","","The Diamond Pictures, Ltd., Seksaria Bldg., Bombay-4.","10363","12-2-64","U","","","","","[XII] Word 'Goddamned' from sub-title. (2.7432 m) || [XIV] Word 'Misbegotten' from sub-title. (0.9144 m) || [II] Shots of Beria. (118.57 m) || [IV] Shots of Beria. (60.96 m) || [7] Shots of Beria. (6.4008 m) || [VIII] Shots of Beria. (43.2816 m) || [X] Shots of Beria. (57.912 m) || [XV] Shots of Beria. (26.5176 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"All The Brothers Were Valiant","English","","","Metro Goldwyn Mayer India Ltd., Metro House Mahatma Gandhi Road, Bombay.","10370","10-2-54","U","","","","","","[III] The sequence of fighting between Mark and the pearl-hunter on the island in which Mark strangles him. (6.7056 m) (retained: 2.4384 m) || [VII] The fighting between Mark and the people of the island when he is escaping in a boat, banging their heads in the water. (4.75488 m) (retained: 0.9144 m) || [X] The sequence in which severe fighting is shown between the mutineers and the two brothers. (8.8392 m) (retained: 4.8768 m) || [X] To a minimum the close shots of Silva and Mark dying after their fight. (3.6576 m) (retained: 4.572 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Pickpockets","English","","","20th Century Fox Corp. (India) Ltd., Metro House, Mahatma Gandhi Road, Bombay.","10390","18-2-54","U","","","","","[V] Shot of Skip punching Candy and pushing her upstairs at his shack. (2.1336 m)","[III] The scenes following the knocking out of Candy by Skip as he holds her in his arms, strokes her chin and kisses her, deleting the shot showing him kicking Tufts. (27.432 m) (retained: 18.5928 m) || [IV] Substantially the remaining scenes of Skip and Candy kissing. (5.1816 m) (retained: 3.3528 m) || [VII] Substantially the scene showing Joey manhandling and beating Candy. (7.62 m) (retained: 2.1336 m) || [VIII] Considerably the fight inside the tunnel and on the track eliminating all low blows by Skip on Joey. (12.8016 m) (retained: 18.288 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Pickpockets","English","","","20th Century Fox Corp. (India) Ltd., Metro House, Mahatma Gandhi Road, Bombay.","10391","18-2-54","U","","","","","Sub-title 'No holds barred' preceding the embrace between Skip and Candy. (1.46304 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"British Movietone News No. 1283","English","","","20th Century Fox Corp. (India) Ltd., Metro House, Mahatma Gandhi Road, Bombay.","10302","18-2-54","U","","","","","Entire item 'Far Eastern Scene Ex-Reds in Korea' from 'On the island of Formosa upto their ancient homeland'. (12.8016 m) || Words 'One more disaster to be borne by Korea now struggling to recover from the ravages of Communist aggression'. (3.048 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Back To God’s Country","English","Color","","Universal Pictures India Ltd., Mustafa Bldg., Sir P. M. Road, Bombay.","10395","19-2-54","U","","","","","[VII] Shot of Dolores lashing the Eskimo’s face. (0.9144 m)","[V & VI] To one sixth the fight between Keith and Blake. (74.3952 m) (retained: 12.192 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"In Minsuandeteen","Marathi","","","Amrit Chitra, Kakakuwa Mansion, Laxmi Road, Poona-2.","10390","20-2-54","U","","","","","[II] Shot of the nude statue in the first song. (5.6388 m) || [IV & X] All references to beating of Madhu by Malti and the son being asked to close the doors etc., also silhouette of Madho. (0 m) || [IV] Shot of lifting of a child’s knicker at the women’s conference. (13.1064 m) || [XI] Remaining fighting scene of the two women after they fall down. (9.906 m)","","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Rush","English","Color","","20th Century Fox Corp. (India) Ltd., Metro House, Mahatma Gandhi Road, Bombay.","10307","20-2-64","U","","","","","","[I] To a flash each of the shots of the women in scanty costume seen dancing on a pavement as the gangsters enter the city. (2.53008 m) (retained: 1.524 m) || [II] To one third shooting at the ranch by one of Bingo’s men. (3.3528 m) (retained: 13.4112 m) || [IX] The last gun fight sequence. (14.6304 m) (retained: 2.92608 m)","","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Aj-Sandhyay","Bengali","","","Sri Sudhir Mukherji, 41/3 Station Lane, Dhakuria, Calcutta-31.","0643","4-2-54","U","","","","","[13] A Scene. (105.768 m) || [2] Night jacket scene from the house of the hero Niladri upto the heroine Amita gets up from the bench. (31.7008 m) || [9] 1st part of the Bengali song 'Na Janire'. (28.956 m) || [10] Scene of Kirttan party. (6.096 m) || [12] Hindi song 'Tare Udas'. (96.012 m)","","[4] A scene in the College Hostel. (197.508 m) || [7] Certain dialogues in Amita’s and Niladri’s bedroom scenes. (55.476 m) || [8] Certain dialogues between Amita and Niladri in the College Hostel. (109.728 m) || [12] Certain dialogues in the College Hostel and Mahim Babu’s house between Niladri and her friends and Niladri and Haridas. (29.8704 m) || [13] A new scene. (167.335 m) || [2] A dialogue of the hero 'Tabe daya kaise na'. (24.384 m) || [10] Insertion of a shot of Niladri. (6.096 m)","","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Vaddante Dabbu","Telugu","","","M/s. Rohini Pictures, 113- Kodambakkam High Road, Madras-6.","8170-U","16-2-54","U","","","","","[5] Delete the picture of Rekha seated on the carving of the Sacred bull while flinging. (21.336 m) || [5] Delete the picture and sound of Ram saying, 'Eh eh eh' to Shyam, gesturing toward Saroj after her departure. (6.4008 m) || [10] Delete the picture of Salochana gesturing leaving only her entry with the coffee. (3.3528 m) || [XI] Delete from the dialogue, the term, 'Athai's back portion' when Shyam and Ram are discussing their plans. (0.3048 m)","[13] Reduce the sound only of the fighting when Shyam and Ram are beaten up by the peons. (Sound only). (3.9624 m)","","[6] Delete the picture of Shyam and Saroj drinking coffee from exchanged cups. (Picture of earlier use of cup by Shyam deleted). (0.3048 m) || [15] Delete the picture of the police officer and men standing to attention and saluting, when Shyam shouts, 'Shut up'. (0.6096 m) || [15] Delete the picture and sound of the duty nurse at the hospital asleep, and her being slapped with a towel by Ramu. (5.1816 m)","in.gazette.1954.101","1954-03-13T00:00:00Z","https://archive.org/details/in.gazette.1954.101"
"Mr. Drake's Duck","English","","","Mr. Daniel M. Angel U.K.","10417","","U","","2286","12.8","2155","[VII] Softness of the head of a foreign state (resembling Georgi Malenkov) making a speech to the great people of the Proletariat. (4.3 m)","","","[IX] Drake biting his finger and kissing Penny is reduced to one instance. (5.5 m) (retained: 0 m)","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Thoue Redheads From Seattle","English","Color","","Paramount International Films Inc., U.S.A.","10448","","U","","2474.7","131.5","2154.7","[VII] All prominent display of girls' bare legs in the dance performance 'Chicka Boom'. (29 m) || [VIII] Shots of girls' legs kicking through a curtain and appearance of hands preceding the song 'Baby, Baby'. (5.5 m) || [IX] A one-shot view of the picture 'Diane At The Bath'. (5.4 m)","","","","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Baadbaan","Hindi","","","Bombay Talkie Worker Industrial Cooperative Society Ltd., Bombay.","10449","","U","","4229.5","7.9","4207.5","[XV] Storm shots. (4.9 m)","","","[XII] Scene showing Mohanlal's expression of lust as Naren advances towards her and their consequent embrace, eliminating the shot showing Naren bolting the door. Replaced with a portion of an earlier close-up with a simple expression. (3.4 m) (retained: 0.3 m)","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Baton man Asm**)","Hindi","","","Variety Productions C/o. Devare Studios 1st Floor, Gutch Castle Sandhurst Road, Bombay-1.","10460","","U","","3861.5","18.4","3767.5","","","","[III] Ranje's words 'Rya business men taaq kar ifikha hai laundiya ko' replaced with 'business men'. (0 m) (retained: 0 m) || [VII] Close view of Chendani's bust in profile under the line 'Dfcct m te hcga meia maatam' replaced with a shot of Anwar and Kalraj. (1.2 m) (retained: 0.1 m) || [IX] Suggestion by picturisation of performance of Namaaz and the words 'Cm Piakoak Kw*ha-om Kamo Naqd Narom' replaced with a shot of an onlooker. (1.8 m) (retained: 0.6 m) || [IV] Physical contact between the Seth and his wife in the presence of their children replaced with a blown up close shot of children. (4.9 m) (retained: 3 m)","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Bhai Seheb","Hindi","","","Dalsukh H. Pancholi, M. A. T, Studios, Andheri, Bombay.","10461","","U","","4024.6","69.2","4024.6","","","","[VI] Words 'B ache he ki itnma' spoken by the maternal uncle to maiden Himi replaced with 'Bokri ka Baohoha'. (1.2 m) (retained: 1.2 m) || [VI] Close-up of Sucheta with her bust uncovered by odhni, when she undulates the upper portion of her body; also a close-up and mid-close shot of Sucheta when she bows after the dance in her room replaced with same shots blown. (20.4 m) (retained: 20.4 m) || [IX] Words 'To jaban kat ke rakh doongi' spoken by bibi to the children of the ciphone replaced with 'Lake liye achofia mrnog*'. (1.2 m) (retained: 1.2 m) || [IX] Shot of Suchela with her bust uncovered by odhni when she is reading the letter. (1.5 m) (retained: 1.5 m) || [X] Before the dance with song 'Raton ko clicri chori' close-up of Suchela with emphasized bust standing near the piano; also, close-ups and mid-shots when Sucheta dancing moves near and about Sudhir at the time of singing of the line 'Khuda ka etbar tootne laga' replaced with same shots blown. (13.4 m) (retained: 13.4 m) || [XI] Words 'lebre bain tore Lbagwen, gccncc hain, leie takije ke rcct le j ado rahe bair-pbaink do ite' spoken by an orphan boy. (3.7 m) (retained: 3.7 m) || [XIII] In the dance accompanying the song 'Dil ki logi khel nabin' the close-up of Sucheta bending backward and moving her arms quickly; also an shots in close-ups when dancing Sucheta moves near and about Sudhii at the time of singing of the line 'Khuda ka etbar tootne laga' replaced with same shots blown. (23.5 m) (retained: 23.5 m) || [XIII] Dhoti of Himi with her bust uncovered by odhni emphasised and heaving, when she runs shouting 'Chandu, Chandu' replaced with approved new shots. (5.5 m) (retained: 5.5 m)","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Payakk'Jhankax","Hindi","","","Nariman S. B. Patel, Twine Manufacturing Co., Hornby Road, Bombay-1.","10402","","U","","3352.8","43.3","3310","[VI and VII] All scenes of the school room, except the footage required for continuity. (45.7 m) (retained: 5.2 m) || [XI] The dialogue between Madho and the singing girl of the hotel comprising of the words 'Pekho ishq spnee manzalen tai kurraha hai, sso, ham kuchh manialen tai kar lain'. (3.7 m)","","","","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Gins of the Fathers","English","","","Canadian Motion Picture Producers Ltd. Canada.","96","","A","","2675.4","20.7","2654.7","[III] The first kiss in the ski-hut and complaint of the girl of being kissed roughly. When the boy kisses and says 'don't mind kissing roughly' and 'I will keep you warm'. (9.1 m) || [VII] The scene showing the birth of a baby. (26.8 m)","","","","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"An Idea Takes Wings","English","Coloured","10 mm","Positive Productions, 833, South Flower Street, Los Angeles.","9505","","U","P. E. Category-II","313","6.9","306","Former communists trained for many years in Marxism, told us how they had found a bigger idea that had transformed their lives. They all now working for inspired democracy with the same zeal on they used to have for the class war. (16.5 m) || One of them, a miner from the German Ruhr, told us that the unity of the free world is more feared in Kremlin than the atom bomb. (2.1 m) || After hearing what had happened in Miami, a former communist from Denmark told us, 'If America spoke with this voice, the communist world would change'. (1.9 m)","","","","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Manohara","Tamil","","","M/s. Manohar Pictures, Greenways Road, Madras-28.","8173-U","","U","","5190.7","20.4","5116","[I] Dada Vasantasena telling Mallini, 'I am the Maharajah bod.' (Sound only) (0 m) || [2] Delete the picture of the dancer in close-up during the first verse of song No. 2. (3 m) || [9] Delete in song No. 7, the last verse with picturisation from the words, 'Yea, what do you say must be done now ?'. (6.1 m) || [9] In song No. 7, delete the references to Vasantan as 'Ramaswami doota' and 'Hanuman' (sound only). (0 m) || [13] In the rehearsal of Vasantan’s durbar, Malini being pulled by the hand. (3 m) || [13] Delete Ugranena telling Malini, 'Do you think this is going to be expounded here now ?' and Vasantasena telling her 'why do you look at me as if you are going to eat me ?' with accompanying picturisation in each case. (6.1 m) || [12] Manohar being taken in chariot for execution after Durbar scene. (5.2 m)","","","","in.gazette.1954.102","1954-03-20T00:00:00Z","https://archive.org/details/in.gazette.1954.102"
"Trailer of “Because of Eve""","English","","","William Danials Becon, U.S.A.","10455","1-3-54","U","","","","","the part allowing Caesarean operation (3.35 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Trailer of “Monsoon”","English","Color","","Western India Theatres Ltd., Marshall Bldg., Ballard Estate, Bombay.","10457","2-3-54","U","","","","","The long sequence of caressing and killing showing Jeanette and Burton (10.97 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Tomorrow Is Too Late","Italian","","","Rixzoli Production Italy.","10458","2-3-54","U","","","","","[Reel II] The scene depicting a man leaning over a woman and kissing her, retaining the same scene as shown in the poster in the dream sequence (3.05 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Ilzam","Hindi","","","R.C. Talwar, Talwar Films, 217, Famous Cine Bldg., Bombay-11.","10460","2-3-64","U","","","","","[Reel V] Words “Nakhaike harkipaudi” (sound 'Hur' replaced with sound ‘sar’) (0 m) || [Reel VI] Words “Ab to jag ja gale” (1.22 m) || [Reel VIII] Bhikra's words ""baohnha bech daalenge, us sc jo mpaya milega"" as spoken while proposing to kidnap the child (6.4 m)","[Reel I] View of Kamli’s back as she is crawling through the hole in the wall (1.83 m) (retained: 1.98 m) || [Reel III] Two cuts in the faces of Kamli and Rajan close to each other in the boat scene while latter’s mother is looking on (2.13 m) (retained: 0.61 m) || [Reel VI] The prolonged view of Kamli’s bust as she is seen with Rajan under the line “Dekko sara o gorl mudko” in the song “Baljn, balle” (1.52 m) (retained: 0 m)","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Majboor","Hindi","","","Murli Movietone, Sharifa Mansion, Vincent Road, Dadar, Bombay-14.","10402","4-3-54","U","","","","","[Reel II] Word “Giyarah” from Chaman's words 'Giyarah bachche dlye hain' (0.02 m) || [Reel II] Close view of La*w*'s emphasised bust as she flourishes her scarf while repeating the line 'yeh udtahuapftnuhohi' in Song No.3 (3.66 m) || [Reel II] Her bust approved shots (0 m) || [Reel XIII] The three close shots of Mohan with knife thrust into his chest, retaining the scene in long shots (8.53 m)","","","[Reel XIII] Approved insertions (3.66 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Metro News Volume 410","","","","Metro Goldwyn Mayer, U.S.A.","10486","10-3-64","U","","","","","Item 11 ""Refugees from behind iron curtain"" (15.54 m) || From the item ""Dules arrive in Washington"" the words ""and they would like to expand their grip if they could"" (1.52 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Gulcha Ganapati","Marathi","","","Sweti Chitra, 405, Narayan Peth, Poona-2.","","","","","","","","","","","In respect of producer as ""Nirmate— Vinayak Rajguru"" for ""Nirmate— Vinayak Rajguru Vasant Khatnis"" (0 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Taaraka","Marathi","","","Dinkar D. Patil, Dinkar Chitra, 298, Tardeo Road, Bombay 7.","","","","","","","","","","[Rule 77] Shambhu's words “Hay Kutra Bandhaleya na Darat” (0.3 m)","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"The Pall of Berlin","Russian","","","Moefilm Studio, Moscow, U. S. S. R.","10303","12-2-54","U","","","","","[Reels III, 77, V, 7777, IX, X, XI] Shots of Berlin (7.44 m) || [Reel VII] Scene of Charles Badatone and Goering (148.44 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Hum","Hindi","","","R. 0. Talwar, Talwar Films, 217, Famous Cine Bldg., Mahalaxmi, Bombay 11.","10400","2-3-54","U","","","","","[Reel VIII] From scene of Kamli under the lamp post upto her scene with her father as she says 'akell thi' (55.47 m)","","[Reel XII] Kakvi's scene with Kajjan regarding the newly born infant (51.82 m) || [Reel X/F] Fighting scene in the fire sequence (13.41 m)","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Abbott & Costello Meet Dr. Jerkyll & Mr. Hyde","English","","","Universal International Films inc., U.S.A.","10475","8-3-54","U","","","","","[Reel III] Shots of Vicky exposing bare thighs and underwear while flourishing her gown in the course of her dance at Hyde Park and, later, at the night club; also, shots of the dancer in silk-gown exposing bare legs (12.5 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Calypso Carnival","English","Color","","Universal International Films inc., U.S.A.","10476","8-3-54","U","","","","","Shots of the female dancer lifted on a drum revealing underwear and again while lying stretched on the drum. (12.29 m) || Shots of the dancer revealing underwear while lying on the ground in a swoon, (in Shango dance sequence) (1.77 m)","","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"The Moonlighter","English","","","Warner Bros. Pictures Inc., U.S.A.","10477","8-3-54","U","","","","","[Reel IV] Shots showing two persons being drugged by Wen Anderson (12.47 m)","[Reel VI & VII] To a flash hold-up inside bank, retaining the portions showing the three gangsters rushing out and one of them being shot dead (54.56 m) (retained: 0.91 m)","","","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
"Prisoner of Golconda","Hindi","Color","","Mr. Prem Nath, 3A, Naaz Building, Bombay-4.","10431","9-3-54","U","","","","","[Reel II] Prem Shankar’s words 'Aur main ahinsa par chalnachahta hoon' (1.16 m) || [Reel II] Prem Shankar’s words “Main to Bapu ke dikhaye hue raast? par nalina, chahta hoon-Bapu ke ” (2.13 m) || [Reel VI] In the same dance the Shots of emphasised bust of the dancer when she bends back forward, and her hip-swaying (5.49 m) || [Reel IX] The words uttered by the gopnda “ Hamen daulat nahin obahlye— hamen husn ohahiye (1.83 m)","[Reel XII] The shots where close-up of the dead body of Krishna is shown in the bier (6.71 m) (retained: 18.29 m)","","[Reel VI] In the dance sequence, Ashfaq ogling at the dancing girl (1.52 m)","in.gazette.1954.103","1954-03-27T00:00:00Z","https://archive.org/details/in.gazette.1954.103"
